Printout for SDDS file BunchHaissinski.sdds

       z             rfV         rfHamilton  
       m              V                      
---------------------------------------------
  6.938890e-18  -2.328310e-09   0.000000e+00 
  2.997920e-04   2.142000e+04   7.291640e-04 
  5.995850e-04   4.279870e+04   2.915250e-03 
  8.993770e-04   6.413590e+04   6.555450e-03 
  1.199170e-03   8.543150e+04   1.164690e-02 
  1.498960e-03   1.066850e+05   1.818680e-02 
  1.798750e-03   1.278970e+05   2.617230e-02 
  2.098550e-03   1.490660e+05   3.560040e-02 
  2.398340e-03   1.701920e+05   4.646840e-02 
  2.698130e-03   1.912760e+05   5.877330e-02 
  2.997920e-03   2.123170e+05   7.251210e-02 
  3.297720e-03   2.333150e+05   8.768210e-02 
  3.597510e-03   2.542700e+05   1.042800e-01 
  3.897300e-03   2.751800e+05   1.223030e-01 
  4.197090e-03   2.960480e+05   1.417490e-01 
  4.496890e-03   3.168710e+05   1.626130e-01 
  4.796680e-03   3.376500e+05   1.848940e-01 
  5.096470e-03   3.583840e+05   2.085880e-01 
  5.396260e-03   3.790740e+05   2.336920e-01 
  5.696060e-03   3.997190e+05   2.602030e-01 
  5.995850e-03   4.203190e+05   2.881180e-01 
  6.295640e-03   4.408740e+05   3.174340e-01 
  6.595430e-03   4.613840e+05   3.481480e-01 
  6.895230e-03   4.818480e+05   3.802570e-01 
  7.195020e-03   5.022660e+05   4.137580e-01 
  7.494810e-03   5.226380e+05   4.486470e-01 
  7.794600e-03   5.429640e+05   4.849210e-01 
  8.094400e-03   5.632430e+05   5.225780e-01 
  8.394190e-03   5.834760e+05   5.616140e-01 
  8.693980e-03   6.036620e+05   6.020260e-01 
  8.993770e-03   6.238010e+05   6.438100e-01 
  9.293570e-03   6.438930e+05   6.869640e-01 
  9.593360e-03   6.639370e+05   7.314840e-01 
  9.893150e-03   6.839340e+05   7.773680e-01 
  1.019290e-02   7.038830e+05   8.246110e-01 
  1.049270e-02   7.237840e+05   8.732100e-01 
  1.079250e-02   7.436370e+05   9.231630e-01 
  1.109230e-02   7.634410e+05   9.744660e-01 
  1.139210e-02   7.831970e+05   1.027120e+00 
  1.169190e-02   8.029040e+05   1.081110e+00 
  1.199170e-02   8.225620e+05   1.136440e+00 
  1.229150e-02   8.421710e+05   1.193110e+00 
  1.259130e-02   8.617310e+05   1.251110e+00 
  1.289110e-02   8.812410e+05   1.310450e+00 
  1.319090e-02   9.007010e+05   1.371110e+00 
  1.349070e-02   9.201110e+05   1.433090e+00 
  1.379050e-02   9.394710e+05   1.496390e+00 
  1.409020e-02   9.587810e+05   1.561010e+00 
  1.439000e-02   9.780400e+05   1.626940e+00 
  1.468980e-02   9.972490e+05   1.694190e+00 
  1.498960e-02   1.016410e+06   1.762730e+00 
  1.528940e-02   1.035510e+06   1.832580e+00 
  1.558920e-02   1.054570e+06   1.903730e+00 
  1.588900e-02   1.073570e+06   1.976180e+00 
  1.618880e-02   1.092520e+06   2.049910e+00 
  1.648860e-02   1.111430e+06   2.124940e+00 
  1.678840e-02   1.130270e+06   2.201250e+00 
  1.708820e-02   1.149070e+06   2.278840e+00 
  1.738800e-02   1.167810e+06   2.357710e+00 
  1.768780e-02   1.186510e+06   2.437860e+00 
  1.798750e-02   1.205140e+06   2.519270e+00 
  1.828730e-02   1.223730e+06   2.601950e+00 
  1.858710e-02   1.242260e+06   2.685900e+00 
  1.888690e-02   1.260740e+06   2.771100e+00 
  1.918670e-02   1.279170e+06   2.857560e+00 
  1.948650e-02   1.297540e+06   2.945280e+00 
  1.978630e-02   1.315860e+06   3.034240e+00 
  2.008610e-02   1.334120e+06   3.124450e+00 
  2.038590e-02   1.352330e+06   3.215900e+00 
  2.068570e-02   1.370490e+06   3.308590e+00 
  2.098550e-02   1.388590e+06   3.402510e+00 
  2.128530e-02   1.406630e+06   3.497670e+00 
  2.158510e-02   1.424620e+06   3.594040e+00 
  2.188480e-02   1.442560e+06   3.691650e+00 
  2.218460e-02   1.460440e+06   3.790470e+00 
  2.248440e-02   1.478270e+06   3.890510e+00 
  2.278420e-02   1.496040e+06   3.991760e+00 
  2.308400e-02   1.513750e+06   4.094210e+00 
  2.338380e-02   1.531410e+06   4.197870e+00 
  2.368360e-02   1.549010e+06   4.302740e+00 
  2.398340e-02   1.566560e+06   4.408790e+00 
  2.428320e-02   1.584040e+06   4.516040e+00 
  2.458300e-02   1.601480e+06   4.624480e+00 
  2.488280e-02   1.618850e+06   4.734110e+00 
  2.518260e-02   1.636170e+06   4.844910e+00 
  2.548240e-02   1.653430e+06   4.956900e+00 
  2.578220e-02   1.670640e+06   5.070050e+00 
  2.608190e-02   1.687780e+06   5.184380e+00 
  2.638170e-02   1.704870e+06   5.299870e+00 
  2.668150e-02   1.721900e+06   5.416520e+00 
  2.698130e-02   1.738870e+06   5.534330e+00 
  2.728110e-02   1.755790e+06   5.653290e+00 
  2.758090e-02   1.772640e+06   5.773400e+00 
  2.788070e-02   1.789440e+06   5.894660e+00 
  2.818050e-02   1.806180e+06   6.017060e+00 
  2.848030e-02   1.822860e+06   6.140600e+00 
  2.878010e-02   1.839480e+06   6.265270e+00 
  2.907990e-02   1.856040e+06   6.391070e+00 
  2.937970e-02   1.872550e+06   6.518000e+00 
  2.967950e-02   1.888990e+06   6.646040e+00 
  2.997920e-02   1.905370e+06   6.775210e+00 
  3.027900e-02   1.921700e+06   6.905490e+00 
  3.057880e-02   1.937960e+06   7.036880e+00 
  3.087860e-02   1.954160e+06   7.169370e+00 
