Printout for SDDS file twiss.twi

       s            betax          betay           etax           etay     
       m              m              m              m              m       
---------------------------------------------------------------------------
  2.858321e+01   3.252183e+00   5.856152e-01   2.373169e-02   0.000000e+00 
  2.879671e+01   2.571487e+00   1.004702e+00   2.096897e-02   0.000000e+00 
  2.909971e+01   1.858839e+00   1.952581e+00   1.779103e-02   0.000000e+00 
  2.940271e+01   1.443233e+00   3.191646e+00   1.604079e-02   0.000000e+00 
  2.970571e+01   1.273598e+00   4.572659e+00   1.566488e-02   0.000000e+00 
  2.970571e+01   1.273598e+00   4.572659e+00   1.566488e-02   0.000000e+00 
  3.000871e+01   1.329093e+00   5.929286e+00   1.665184e-02   0.000000e+00 
  3.031171e+01   1.616534e+00   7.098128e+00   1.903177e-02   0.000000e+00 
  3.061471e+01   2.171243e+00   7.938405e+00   2.287721e-02   0.000000e+00 
  3.061471e+01   2.171243e+00   7.938405e+00   2.287721e-02   0.000000e+00 
  3.067271e+01   2.310450e+00   8.061395e+00   2.376042e-02   0.000000e+00 
  3.078271e+01   2.733636e+00   7.857724e+00   2.610410e-02   0.000000e+00 
  3.085771e+01   3.153350e+00   7.431558e+00   2.817251e-02   0.000000e+00 
  3.085771e+01   3.153350e+00   7.431558e+00   2.817251e-02   0.000000e+00 
  3.085771e+01   3.153350e+00   7.431558e+00   2.817251e-02   0.000000e+00 
  3.110471e+01   4.774519e+00   6.122457e+00   3.498449e-02   0.000000e+00 
  3.119691e+01   5.473614e+00   5.670918e+00   3.752726e-02   0.000000e+00 
  3.119691e+01   5.473614e+00   5.670918e+00   3.752726e-02   0.000000e+00 
  3.128471e+01   6.186819e+00   5.259685e+00   3.994869e-02   0.000000e+00 
  3.143471e+01   7.512429e+00   4.599463e+00   4.408552e-02   0.000000e+00 
  3.164771e+01   9.627055e+00   3.753722e+00   4.995981e-02   0.000000e+00 
  3.173771e+01   1.060248e+01   3.428735e+00   5.244191e-02   0.000000e+00 
  3.180471e+01   1.136022e+01   3.199286e+00   5.428970e-02   0.000000e+00 
  3.191471e+01   1.200332e+01   3.011371e+00   5.581085e-02   0.000000e+00 
  3.198971e+01   1.200131e+01   3.003206e+00   5.580723e-02   0.000000e+00 
  3.223671e+01   1.200131e+01   3.002845e+00   5.579530e-02   0.000000e+00 
  3.231171e+01   1.200332e+01   3.010791e+00   5.579167e-02   0.000000e+00 
  3.242171e+01   1.136022e+01   3.198340e+00   5.426052e-02   0.000000e+00 
  3.248871e+01   1.060248e+01   3.427524e+00   5.240707e-02   0.000000e+00 
  3.257871e+01   9.627057e+00   3.752131e+00   4.991737e-02   0.000000e+00 
  3.295171e+01   6.103254e+00   5.302147e+00   3.959895e-02   0.000000e+00 
  3.295171e+01   6.103254e+00   5.302147e+00   3.959895e-02   0.000000e+00 
  3.295171e+01   6.103254e+00   5.302147e+00   3.959895e-02   0.000000e+00 
  3.295171e+01   6.103254e+00   5.302147e+00   3.959895e-02   0.000000e+00 
  3.312171e+01   4.774522e+00   6.118003e+00   3.489618e-02   0.000000e+00 
  3.312171e+01   4.774522e+00   6.118003e+00   3.489618e-02   0.000000e+00 
  3.312171e+01   4.774522e+00   6.118003e+00   3.489618e-02   0.000000e+00 
  3.336871e+01   3.153352e+00   7.425477e+00   2.806334e-02   0.000000e+00 
  3.344371e+01   2.733639e+00   7.851109e+00   2.598859e-02   0.000000e+00 
  3.355371e+01   2.297828e+00   8.095738e+00   2.356718e-02   0.000000e+00 
  3.360071e+01   2.174399e+00   8.030817e+00   2.278961e-02   0.000000e+00 
  3.387171e+01   1.617897e+00   7.452183e+00   1.896154e-02   0.000000e+00 
  3.414271e+01   1.303160e+00   6.511999e+00   1.637687e-02   0.000000e+00 
  3.414271e+01   1.303160e+00   6.511999e+00   1.637687e-02   0.000000e+00 
  3.441371e+01   1.193962e+00   5.316467e+00   1.496175e-02   0.000000e+00 
  3.468471e+01   1.277735e+00   4.000632e+00   1.467576e-02   0.000000e+00 
  3.468471e+01   1.277735e+00   4.000632e+00   1.467576e-02   0.000000e+00 
  3.473171e+01   1.311161e+00   3.774375e+00   1.472317e-02   0.000000e+00 
  3.501171e+01   1.095096e+00   3.864734e+00   1.228420e-02   0.000000e+00 
  3.505671e+01   1.004688e+00   4.114714e+00   1.147977e-02   0.000000e+00 
  3.505671e+01   1.004688e+00   4.114714e+00   1.147977e-02   0.000000e+00 
  3.510099e+01   9.233052e-01   4.369310e+00   1.068829e-02   0.000000e+00 
  3.540399e+01   5.932509e-01   6.120937e+00   5.962623e-03   0.000000e+00 
  3.570699e+01   6.439529e-01   7.611343e+00   2.588348e-03   0.000000e+00 
  3.570699e+01   6.439529e-01   7.611343e+00   2.588348e-03   0.000000e+00 
  3.600999e+01   1.092430e+00   8.514949e+00   5.594789e-04   0.000000e+00 
  3.631299e+01   2.034342e+00   8.611600e+00  -1.371409e-04   0.000000e+00 
  3.631299e+01   2.034342e+00   8.611600e+00  -1.371409e-04   0.000000e+00 
  3.635999e+01   2.233153e+00   8.559526e+00  -1.421832e-04   0.000000e+00 
  3.652099e+01   3.320340e+00   7.463306e+00  -1.679355e-04   0.000000e+00 
  3.659999e+01   4.129405e+00   6.546442e+00  -1.849713e-04   0.000000e+00 
  3.674999e+01   5.917406e+00   4.975782e+00  -2.173179e-04   0.000000e+00 
  3.682899e+01   6.991702e+00   4.238217e+00  -2.343538e-04   0.000000e+00 
  3.717399e+01   6.968099e+00   3.828030e+00  -2.269648e-04   0.000000e+00 
  3.724899e+01   5.938865e+00   4.297575e+00  -2.077592e-04   0.000000e+00 
  3.741799e+01   4.709781e+00   4.684511e+00  -1.804321e-04   0.000000e+00 
  3.750313e+01   4.529017e+00   4.506296e+00  -1.743281e-04   0.000000e+00 
  3.750313e+01   4.529017e+00   4.506296e+00  -1.743281e-04   0.000000e+00 
  3.758826e+01   4.354930e+00   4.334692e+00  -1.682240e-04   0.000000e+00 
  3.758826e+01   4.354930e+00   4.334692e+00  -1.682240e-04   0.000000e+00 
  3.761971e+01   4.292311e+00   4.272974e+00  -1.659692e-04   0.000000e+00 
  3.761971e+01   4.292311e+00   4.272974e+00  -1.659692e-04   0.000000e+00 
  3.763471e+01   4.262765e+00   4.243854e+00  -1.686438e-04   0.000000e+00 
  3.764171e+01   4.249048e+00   4.230335e+00  -1.716419e-04   0.000000e+00 
  3.767171e+01   4.190772e+00   4.172896e+00  -1.694910e-04   0.000000e+00 
  3.767871e+01   4.177294e+00   4.159611e+00  -1.654891e-04   0.000000e+00 
  3.770871e+01   4.120040e+00   4.103176e+00  -1.633382e-04   0.000000e+00 
  3.771571e+01   4.106801e+00   4.090125e+00  -1.663364e-04   0.000000e+00 
  3.774571e+01   4.050569e+00   4.034695e+00  -1.641855e-04   0.000000e+00 
  3.775271e+01   4.037568e+00   4.021879e+00  -1.601836e-04   0.000000e+00 
  3.778271e+01   3.982359e+00   3.967454e+00  -1.580327e-04   0.000000e+00 
  3.778971e+01   3.969596e+00   3.954872e+00  -1.610308e-04   0.000000e+00 
  3.781971e+01   3.915410e+00   3.901452e+00  -1.588799e-04   0.000000e+00 
  3.782671e+01   3.902886e+00   3.889105e+00  -1.548781e-04   0.000000e+00 
  3.785671e+01   3.849722e+00   3.836690e+00  -1.527272e-04   0.000000e+00 
  3.786371e+01   3.837436e+00   3.824578e+00  -1.557253e-04   0.000000e+00 
  3.789371e+01   3.785294e+00   3.773169e+00  -1.535744e-04   0.000000e+00 
  3.790071e+01   3.773247e+00   3.761291e+00  -1.495725e-04   0.000000e+00 
  3.793071e+01   3.722128e+00   3.710888e+00  -1.474216e-04   0.000000e+00 
  3.793771e+01   3.710320e+00   3.699245e+00  -1.504198e-04   0.000000e+00 
  3.796771e+01   3.660223e+00   3.649848e+00  -1.482689e-04   0.000000e+00 
  3.797471e+01   3.648653e+00   3.638440e+00  -1.442670e-04   0.000000e+00 
  3.800471e+01   3.599578e+00   3.590050e+00  -1.421161e-04   0.000000e+00 
  3.801171e+01   3.588247e+00   3.578876e+00  -1.451142e-04   0.000000e+00 
  3.804171e+01   3.540195e+00   3.531493e+00  -1.429633e-04   0.000000e+00 
  3.804871e+01   3.529102e+00   3.520554e+00  -1.389615e-04   0.000000e+00 
  3.807871e+01   3.482072e+00   3.474178e+00  -1.368106e-04   0.000000e+00 
  3.808571e+01   3.471218e+00   3.463474e+00  -1.398087e-04   0.000000e+00 
  3.811571e+01   3.425210e+00   3.418105e+00  -1.376578e-04   0.000000e+00 
  3.812271e+01   3.414594e+00   3.407636e+00  -1.336559e-04   0.000000e+00 
  3.815271e+01   3.369609e+00   3.363274e+00  -1.315050e-04   0.000000e+00 
  3.815971e+01   3.359232e+00   3.353040e+00  -1.345031e-04   0.000000e+00 
  3.818971e+01   3.315270e+00   3.309686e+00  -1.323523e-04   0.000000e+00 
  3.819671e+01   3.305131e+00   3.299688e+00  -1.283504e-04   0.000000e+00 
  3.822671e+01   3.262191e+00   3.257341e+00  -1.261995e-04   0.000000e+00 
  3.823371e+01   3.252291e+00   3.247578e+00  -1.291976e-04   0.000000e+00 
  3.826371e+01   3.210373e+00   3.206239e+00  -1.270467e-04   0.000000e+00 
  3.827071e+01   3.200711e+00   3.196711e+00  -1.230448e-04   0.000000e+00 
  3.830071e+01   3.159816e+00   3.156381e+00  -1.208940e-04   0.000000e+00 
  3.830771e+01   3.150393e+00   3.147088e+00  -1.238921e-04   0.000000e+00 
  3.833771e+01   3.110520e+00   3.107766e+00  -1.217412e-04   0.000000e+00 
  3.834471e+01   3.101335e+00   3.098708e+00  -1.177393e-04   0.000000e+00 
  3.837471e+01   3.062485e+00   3.060395e+00  -1.155884e-04   0.000000e+00 
  3.838171e+01   3.053539e+00   3.051573e+00  -1.185865e-04   0.000000e+00 
  3.841171e+01   3.015710e+00   3.014268e+00  -1.164357e-04   0.000000e+00 
  3.841871e+01   3.007003e+00   3.005682e+00  -1.124338e-04   0.000000e+00 
  3.844871e+01   2.970197e+00   2.969386e+00  -1.102829e-04   0.000000e+00 
  3.845571e+01   2.961728e+00   2.961035e+00  -1.132810e-04   0.000000e+00 
  3.848571e+01   2.925945e+00   2.925748e+00  -1.111301e-04   0.000000e+00 
  3.849271e+01   2.917715e+00   2.917633e+00  -1.071282e-04   0.000000e+00 
  3.852271e+01   2.882953e+00   2.883356e+00  -1.049774e-04   0.000000e+00 
  3.852971e+01   2.874962e+00   2.875475e+00  -1.079755e-04   0.000000e+00 
  3.855971e+01   2.841223e+00   2.842208e+00  -1.058246e-04   0.000000e+00 
  3.856671e+01   2.833470e+00   2.834563e+00  -1.018227e-04   0.000000e+00 
  3.859671e+01   2.800753e+00   2.802305e+00  -9.967182e-05   0.000000e+00 
  3.860371e+01   2.793239e+00   2.794896e+00  -1.026699e-04   0.000000e+00 
  3.863371e+01   2.761545e+00   2.763648e+00  -1.005191e-04   0.000000e+00 
  3.864071e+01   2.754269e+00   2.756475e+00  -9.651718e-05   0.000000e+00 
  3.867071e+01   2.723597e+00   2.726237e+00  -9.436629e-05   0.000000e+00 
  3.867771e+01   2.716560e+00   2.719299e+00  -9.736441e-05   0.000000e+00 
  3.870771e+01   2.686910e+00   2.690071e+00  -9.521352e-05   0.000000e+00 
  3.871471e+01   2.680112e+00   2.683369e+00  -9.121164e-05   0.000000e+00 
  3.874471e+01   2.651485e+00   2.655151e+00  -8.906075e-05   0.000000e+00 
  3.875171e+01   2.644924e+00   2.648685e+00  -9.205888e-05   0.000000e+00 
  3.878171e+01   2.617320e+00   2.621478e+00  -8.990798e-05   0.000000e+00 
  3.878871e+01   2.610998e+00   2.615247e+00  -8.590611e-05   0.000000e+00 
  3.881871e+01   2.584416e+00   2.589050e+00  -8.375522e-05   0.000000e+00 
  3.882571e+01   2.578333e+00   2.583056e+00  -8.675334e-05   0.000000e+00 
  3.885571e+01   2.552773e+00   2.557870e+00  -8.460245e-05   0.000000e+00 
  3.886271e+01   2.546928e+00   2.552111e+00  -8.060057e-05   0.000000e+00 
  3.889271e+01   2.522391e+00   2.527935e+00  -7.844968e-05   0.000000e+00 
  3.889971e+01   2.516785e+00   2.522412e+00  -8.144781e-05   0.000000e+00 
  3.892971e+01   2.493270e+00   2.499248e+00  -7.929692e-05   0.000000e+00 
  3.893671e+01   2.487902e+00   2.493961e+00  -7.529504e-05   0.000000e+00 
  3.896671e+01   2.465410e+00   2.471808e+00  -7.314415e-05   0.000000e+00 
  3.897371e+01   2.460281e+00   2.466757e+00  -7.614227e-05   0.000000e+00 
  3.900371e+01   2.438811e+00   2.445614e+00  -7.399138e-05   0.000000e+00 
  3.901071e+01   2.433920e+00   2.440799e+00  -6.998951e-05   0.000000e+00 
  3.904071e+01   2.413472e+00   2.420668e+00  -6.783861e-05   0.000000e+00 
  3.904771e+01   2.408820e+00   2.416089e+00  -7.083674e-05   0.000000e+00 
  3.907771e+01   2.389395e+00   2.396969e+00  -6.868585e-05   0.000000e+00 
  3.908471e+01   2.384982e+00   2.392626e+00  -6.468397e-05   0.000000e+00 
  3.911471e+01   2.366579e+00   2.374518e+00  -6.253308e-05   0.000000e+00 
  3.912171e+01   2.362404e+00   2.370411e+00  -6.553121e-05   0.000000e+00 
  3.915171e+01   2.345023e+00   2.353314e+00  -6.338031e-05   0.000000e+00 
  3.915871e+01   2.341087e+00   2.349443e+00  -5.937844e-05   0.000000e+00 
  3.918871e+01   2.324729e+00   2.333358e+00  -5.722755e-05   0.000000e+00 
  3.919571e+01   2.321031e+00   2.329723e+00  -6.022567e-05   0.000000e+00 
  3.922571e+01   2.305695e+00   2.314649e+00  -5.807478e-05   0.000000e+00 
  3.923271e+01   2.302236e+00   2.311250e+00  -5.407290e-05   0.000000e+00 
  3.926271e+01   2.287922e+00   2.297189e+00  -5.192201e-05   0.000000e+00 
  3.926971e+01   2.284702e+00   2.294026e+00  -5.492014e-05   0.000000e+00 
  3.929971e+01   2.271411e+00   2.280976e+00  -5.276925e-05   0.000000e+00 
  3.930671e+01   2.268429e+00   2.278049e+00  -4.876737e-05   0.000000e+00 
  3.933671e+01   2.256160e+00   2.266011e+00  -4.661648e-05   0.000000e+00 
  3.934371e+01   2.253416e+00   2.263321e+00  -4.961460e-05   0.000000e+00 
  3.937371e+01   2.242170e+00   2.252295e+00  -4.746371e-05   0.000000e+00 
  3.938071e+01   2.239665e+00   2.249840e+00  -4.346184e-05   0.000000e+00 
  3.941071e+01   2.229441e+00   2.239826e+00  -4.131094e-05   0.000000e+00 
  3.941771e+01   2.227175e+00   2.237608e+00  -4.430907e-05   0.000000e+00 
  3.944771e+01   2.217973e+00   2.228606e+00  -4.215818e-05   0.000000e+00 
  3.945471e+01   2.215945e+00   2.226624e+00  -3.815630e-05   0.000000e+00 
  3.948471e+01   2.207766e+00   2.218634e+00  -3.600541e-05   0.000000e+00 
  3.949171e+01   2.205977e+00   2.216888e+00  -3.900354e-05   0.000000e+00 
  3.952171e+01   2.198820e+00   2.209910e+00  -3.685264e-05   0.000000e+00 
