Printout for SDDS file result.sdds

    Turns         x_79           y_79     
                   m              m       
------------------------------------------
        243  -2.818060e-05  -4.360510e-05 
        244  -1.932750e-05   9.304220e-05 
        245   1.096330e-05   2.125720e-05 
        246   2.886730e-05  -9.779950e-05 
        247   1.455370e-05   2.144290e-06 
        248  -1.586440e-05   9.696190e-05 
        249  -2.846610e-05  -2.526280e-05 
        250  -9.335340e-06  -9.061790e-05 
        251   2.008450e-05   4.678840e-05 
        252   2.702040e-05   7.916770e-05 
        253   3.862450e-06  -6.551130e-05 
        254  -2.349670e-05  -6.329740e-05 
        255  -2.460360e-05   8.039010e-05 
        256   1.674130e-06   4.393810e-05 
        257   2.600260e-05  -9.060890e-05 
        258   2.131570e-05  -2.221110e-05 
        259  -7.087620e-06   9.562120e-05 
        260  -2.753320e-05  -6.367460e-07 
        261  -1.727950e-05  -9.517920e-05 
        262   1.219930e-05   2.330470e-05 
        263   2.804930e-05   8.934510e-05 
        264   1.263680e-05  -4.451150e-05 
        265  -1.684240e-05  -7.848480e-05 
        266  -2.754090e-05   6.306800e-05 
        267  -7.544640e-06   6.324540e-05 
        268   2.086470e-05  -7.794270e-05 
        269   2.602720e-05  -4.451620e-05 
        270   2.172330e-06   8.831910e-05 
        271  -2.413220e-05   2.337730e-05 
        272  -2.355600e-05  -9.364000e-05 
        273   3.302520e-06  -1.036650e-06 
        274   2.653140e-05   9.363640e-05 
        275   2.020250e-05  -2.123810e-05 
        276  -8.697330e-06  -8.834100e-05 
        277  -2.797220e-05   4.219140e-05 
        278  -1.606910e-05   7.808380e-05 
        279   1.382840e-05  -6.065030e-05 
        280   2.839090e-05  -6.347150e-05 
        281   1.128330e-05   7.558960e-05 
        282  -1.851520e-05   4.535190e-05 
        283  -2.775260e-05  -8.618800e-05 
        284  -5.996400e-06  -2.476430e-05 
        285   2.258450e-05   9.187330e-05 
        286   2.605350e-05   2.880030e-06 
        287   3.811970e-07  -9.235180e-05 
        288  -2.587600e-05   1.906360e-05 
        289  -2.332400e-05   8.762390e-05 
        290   5.371640e-06  -3.983310e-05 
        291   2.824750e-05  -7.798160e-05 
        292   1.962940e-05   5.826780e-05 
        293  -1.105760e-05   6.399040e-05 
        294  -2.958030e-05  -7.334410e-05 
        295  -1.507150e-05  -4.645620e-05 
        296   1.646360e-05   8.423170e-05 
        297   2.978580e-05   2.637890e-05 
        298   9.787800e-06  -9.033890e-05 
        299  -2.137450e-05  -4.895580e-06 
        300  -2.881070e-05   9.134390e-05 
        301  -3.950440e-06  -1.678380e-05 
        302   2.558060e-05  -8.721180e-05 
        303   2.664210e-05   3.744390e-05 
        304  -2.237300e-06   7.819440e-05 
        305  -2.888580e-05  -5.593200e-05 
        306  -2.331190e-05  -6.481510e-05 
        307   8.545760e-06   7.122120e-05 
        308   3.111650e-05   4.783840e-05 
        309   1.889970e-05  -8.246750e-05 
        310  -1.472570e-05  -2.822620e-05 
        311  -3.213080e-05   8.905550e-05 
        312  -1.353380e-05   7.083580e-06 
        313   2.051680e-05  -9.063150e-05 
        314   3.182700e-05   1.440330e-05 
        315   7.390140e-06   8.712220e-05 
        316  -2.565750e-05  -3.503300e-05 
        317  -3.015210e-05  -7.873750e-05 
        318  -6.892810e-07   5.365590e-05 
        319   2.989660e-05   6.595780e-05 
        320   2.710780e-05  -6.923700e-05 
        321  -6.309690e-06  -4.950670e-05 
        322  -3.300510e-05   8.091380e-05 
        323  -2.275580e-05   3.030960e-05 
        324   1.331750e-05  -8.804250e-05 
        325   3.478860e-05  -9.442400e-06 
        326   1.721940e-05   9.023370e-05 
        327  -2.002530e-05  -1.192860e-05 
        328  -3.509940e-05  -8.737270e-05 
        329  -1.068350e-05   3.261140e-05 
        330   2.611780e-05   7.962570e-05 
        331   3.384670e-05  -5.145430e-05 
        332   3.390540e-06  -6.742960e-05 
        333  -3.128720e-05   6.740930e-05 
        334  -3.100600e-05   5.146750e-05 
        335   4.366590e-06  -7.958990e-05 
        336   3.524930e-05  -3.263050e-05 
        337   2.662520e-05   8.731970e-05 
        338  -1.225460e-05   1.196860e-05 
        339  -3.775830e-05  -9.016940e-05 
        340  -2.082790e-05   9.367890e-06 
        341   1.991340e-05   8.798030e-05 
        342   3.862220e-05  -3.019160e-05 
        343   1.381240e-05  -8.087290e-05 
        344  -2.697140e-05   4.934350e-05 
        345  -3.771600e-05   6.924020e-05 
        346  -5.848040e-06  -6.575690e-05 
        347   3.306380e-05  -5.372590e-05 
        348   3.499280e-05   7.851630e-05 
        349  -2.734000e-06   3.518910e-05 
        350  -3.785070e-05  -8.690760e-05 
        351  -3.049150e-05  -1.465700e-05 
        352   1.155280e-05   9.045790e-05 
        353   4.103650e-05  -6.731440e-06 
        354   2.434060e-05  -8.896170e-05 
        355  -2.019360e-05   2.778820e-05 
        356  -4.238750e-05   8.249220e-05 
        357  -1.675740e-05  -4.734140e-05 
        358   2.822710e-05  -7.139830e-05 
        359   4.174780e-05   6.430000e-05 
        360   8.042650e-06   5.628560e-05 
        361  -3.523030e-05  -7.771400e-05 
        362  -3.905260e-05  -3.798350e-05 
        363   1.429570e-06   8.682700e-05 
        364   4.080850e-05   1.750050e-05 
        365   3.433630e-05  -9.111850e-05 
        366  -1.122690e-05   4.031110e-06 
        367  -4.461760e-05   9.033320e-05 
        368  -2.773770e-05  -2.541720e-05 
        369   2.087740e-05  -8.449590e-05 
        370   4.638510e-05   4.546720e-05 
        371   1.949810e-05   7.391150e-05 
        372  -2.989210e-05  -6.305980e-05 
        373  -4.592800e-05  -5.914870e-05 
        374  -9.954820e-06   7.720500e-05 
        375   3.778920e-05   4.101040e-05 
        376   4.316770e-05  -8.709910e-05 
        377  -4.708850e-07  -2.049050e-05 
        378  -4.412010e-05   9.217020e-05 
        379  -3.813970e-05  -1.280530e-06 
        380   1.129150e-05  -9.211070e-05 
        381   4.849410e-05   2.309640e-05 
        382   3.099810e-05   8.689560e-05 
        383  -2.197530e-05  -4.374180e-05 
        384  -5.060290e-05  -7.678600e-05 
        385  -2.201340e-05   6.205890e-05 
        386   3.197210e-05   6.231590e-05 
        387   5.024030e-05  -7.701210e-05 
        388   1.156470e-05  -4.426490e-05 
        389  -4.074130e-05   8.774560e-05 
        390  -4.731880e-05   2.361630e-05 
        391  -1.247440e-07  -9.363220e-05 
        392   4.778090e-05  -1.504960e-06 
        393   4.188030e-05   9.430950e-05 
        394  -1.176040e-05  -2.084500e-05 
        395  -5.265630e-05  -8.970180e-05 
        396  -3.409950e-05   4.218700e-05 
        397   2.349670e-05   8.002710e-05 
        398   5.502650e-05  -6.132070e-05 
        399   2.428170e-05  -6.578660e-05 
        400  -3.447150e-05   7.715870e-05 
        401  -5.466650e-05   4.774020e-05 
        402  -1.285250e-05  -8.878840e-05 
        403   4.408530e-05  -2.686600e-05 
        404   5.148510e-05   9.552350e-05 
        405   3.403990e-07   4.308370e-06 
        406  -5.178440e-05  -9.694450e-05 
        407  -4.553540e-05   1.868400e-05 
        408   1.264650e-05   9.292430e-05 
        409   5.709260e-05  -4.082640e-05 
        410   3.701900e-05  -8.363850e-05 
        411  -2.544970e-05   6.086960e-05 
        412  -5.963980e-05   6.955850e-05 
        413  -2.628100e-05  -7.766900e-05 
        414   3.739310e-05  -5.142810e-05 
        415   5.918700e-05   9.024970e-05 
        416   1.379840e-05   3.022550e-05 
        417  -4.781860e-05  -9.786290e-05 
        418  -5.564410e-05  -7.111060e-06 
        419  -1.597250e-07   1.000300e-04 
        420   5.612240e-05  -1.663540e-05 
        421   4.908160e-05  -9.657180e-05 
        422  -1.396180e-05   3.968460e-05 
        423  -6.178960e-05   8.762310e-05 
        424  -3.973300e-05  -6.073120e-05 
        425   2.784110e-05  -7.362790e-05 
        426   6.442510e-05   7.856740e-05 
        427   2.798910e-05   5.531880e-05 
        428  -4.073800e-05  -9.215170e-05 
        429  -6.378050e-05  -3.367950e-05 
        430  -1.438290e-05   1.006690e-04 
        431   5.193660e-05   9.892780e-06 
        432   5.977250e-05  -1.035790e-04 
        433  -4.329440e-07   1.472330e-05 
        434  -6.078480e-05   1.006520e-04 
        435  -5.249450e-05  -3.878740e-05 
        436   1.571710e-05  -9.198210e-05 
        437   6.673210e-05   6.093180e-05 
        438   4.221770e-05   7.798970e-05 
        439  -3.067630e-05  -7.987940e-05 
        440  -6.936300e-05  -5.940080e-05 
        441  -2.938380e-05   9.451710e-05 
        442   4.450580e-05   3.721080e-05 
        443   6.842440e-05  -1.039600e-04 
        444   1.458690e-05  -1.263170e-05 
        445  -5.643290e-05   1.076060e-04 
        446  -6.384570e-05  -1.297270e-05 
        447   1.452460e-06  -1.051720e-04 
        448   6.575970e-05   3.816180e-05 
        449   5.574880e-05   9.671570e-05 
        450  -1.792230e-05  -6.149860e-05 
        451  -7.190340e-05  -8.263710e-05 
        452  -4.444860e-05   8.163060e-05 
        453   3.395940e-05   6.366090e-05 
        454   7.443260e-05  -9.736830e-05 
        455   3.044310e-05  -4.080040e-05 
        456  -4.869470e-05   1.077540e-04 
        457  -7.309500e-05   1.530430e-05 
        458  -1.439200e-05  -1.121220e-04 
        459   6.129980e-05   1.141030e-05 
        460   6.783820e-05   1.101370e-04 
        461  -2.912770e-06  -3.783620e-05 
        462  -7.103360e-05  -1.018230e-04 
        463  -5.881900e-05   6.245970e-05 
        464   2.058570e-05   8.756190e-05 
        465   7.728520e-05  -8.384730e-05 
        466   4.640160e-05  -6.808440e-05 
        467  -3.769300e-05   1.007280e-04 
        468  -7.961160e-05   4.442800e-05 
        469  -3.114530e-05  -1.120700e-04 
        470   5.330100e-05  -1.788570e-05 
